samhita	pada
agn;im ii.de pur;ohita.m yaj;n;asya dev;am .rtv;ijam h;otaara.m ratnadh;aatamam	agn;im ii.de pur;ohitam yaj;n;asya dev;am .rtv;ijam h;otaaram ratnadh;aatamam
agn;i.h p;uurvebhir ;.r.sibhir ;ii.dyo n;uutanair ut;a s;a dev;aa;m ;eh;a vak.sati	agn;i.h p;uurvebhi.h ;.r.sibhi.h ;ii.dya.h n;uutanai.h ut;a s;a dev;aan ;aa ih;a vak.sati
agn;inaa ray;im a;snavat p;o.sam ev;a div;e-dive ya;s;asa.m viir;avattamam	agn;inaa ray;im a;snavat p;o.sam ev;a div;e-dive ya;s;asam viir;avattamam
;agne y;a.m yaj;n;am adhvar;a.m vi;sv;ata.h paribh;uur ;asi s;a ;id dev;e.su gachati	;agne y;am yaj;n;am adhvar;am vi;sv;ata.h paribh;uu.h ;asi s;a ;it dev;e.su gachati
agn;ir h;otaa kav;ikratu.h saty;a;s citr;a;sravastama.h dev;o dev;ebhir ;aa gamat	agn;i.h h;otaa kav;ikratu.h saty;a.h citr;a;sravastama.h dev;a.h dev;ebhi.h ;aa gamat
y;ad a:ng;a daa;s;u.se tv;am ;agne bhadr;a.m kari.sy;asi t;av;et t;at saty;am a:ngira.h	y;at a:ng;a daa;s;u.se tv;am ;agne bhadr;am kari.sy;asi t;ava ;it t;at saty;am a:ngira.h
;upa tvaagne div;e-dive d;o.saavastar dhiy;aa vay;am n;amo bh;aranta ;emasi	;upa tvaa agne div;e-dive d;o.saavastar dhiy;aa vay;am n;ama.h bh;aranta.h ;aa imasi
r;aajantam adhvar;aa.naa.m gop;aam .rt;asya d;iidivim v;ardhamaana.m sv;e d;ame	r;aajantam adhvar;aa.naam gop;aam .rt;asya d;iidivim v;ardhamaanam sv;e d;ame
s;a na.h pit;eva suun;av;e 'gne suupaayan;o bhava s;acasvaa na.h svast;aye	s;a na.h pit;aa iva suun;ave ;agne suupaayan;a.h bhava s;acasva+ na.h svast;aye
v;aayav ;aa yaahi dar;satem;e s;omaa ;ara.mk.rtaa.h t;e.saam paahi ;srudh;ii h;avam	v;aayo ;aa yaahi dar;sata im;e s;omaa.h ;ara.mk.rtaa.h t;e.saam paahi ;srudh;i+ h;avam
v;aaya ukth;ebhir jarante tv;aam ;achaa jarit;aara.h sut;asomaa aharv;ida.h	v;aayo ukth;ebhi.h jarante tv;aam ;acha+ jarit;aara.h sut;asomaa.h aharv;ida.h
v;aayo t;ava prap.r;ncat;ii dh;enaa jigaati daa;s;u.se uruuc;ii s;omapiitaye	v;aayo t;ava prap.r;ncat;ii dh;enaa jigaati daa;s;u.se uruuc;ii s;omapiitaye
;indravaayuu im;e sut;aa ;upa pr;ayobhir ;aa gatam ;indavo vaam u;s;anti h;i	;indravaayuu im;e sut;aa.h ;upa pr;ayobhi.h ;aa gatam ;indava.h vaam u;s;anti h;i
v;aayav ;indra;s ca cetatha.h sut;aanaa.m vaajiniivasuu t;aav ;aa yaatam ;upa drav;at	v;aayo ;indra.h ca cetatha.h sut;aanaam vaajiniivasuu ta;u ;aa yaatam ;upa drav;at
v;aayav ;indra;s ca sunvat;a ;aa yaatam ;upa ni.sk.rt;am mak.sv :itth;aa dhiy;aa naraa	v;aayo ;indra.h ca sunvat;a.h ;aa yaatam ;upa ni.sk.rt;am mak.s;u+ itth;aa dhiy;aa naraa
mitr;a.m huve puut;adak.sa.m v;aru.na.m ca ri;s;aadasam dh;iya.m gh.rt;aacii.m s;aadhantaa	mitr;am huve puut;adak.sam v;aru.nam ca ri;s;aadasam dh;iyam gh.rt;aaciim s;aadhantaa
.rt;ena mitraavaru.naav .rtaav.rdhaav .rtasp.r;saa kr;atum b.rh;antam aa;saathe	.rt;ena mitraavaru.nau .rtaav.rdhau .rtasp.r;saa kr;atum b.rh;antam aa;saathe
kav;ii no mitr;aav;aru.naa tuvijaat;aa uruk.s;ayaa d;ak.sa.m dadhaate ap;asam	kav;ii na.h mitr;aav;aru.naa tuvijaata;u uruk.s;ayaa d;ak.sam dadhaate ap;asam
;a;svinaa y;ajvariir ;i.so dr;avatpaa.nii ;s;ubhas patii p;urubhujaa canasy;atam	;a;svinaa y;ajvarii.h ;i.sa.h dr;avatpaa.nii ;s;ubha.h patii p;urubhujaa canasy;atam
;a;svinaa p;uruda.msasaa n;araa ;s;aviirayaa dhiy;aa dh;i.s.nyaa v;anata.m g;ira.h	;a;svinaa p;uruda.msasaa n;araa ;s;aviirayaa dhiy;aa dh;i.s.nyaa v;anatam g;ira.h
d;asraa yuv;aakava.h sut;aa n;aasatyaa v.rkt;abarhi.sa.h ;aa yaata.m rudravartanii	d;asraa yuv;aakava.h sut;aa.h n;aasatyaa v.rkt;abarhi.sa.h ;aa yaatam rudravartanii
;indr;aa yaahi citrabhaano sut;aa im;e tvaay;ava.h ;a.nviibhis t;anaa puut;aasa.h	;indra ;aa yaahi citrabhaano sut;aa.h im;e tvaay;ava.h ;a.nviibhi.h t;anaa puut;aasa.h
;indr;aa yaahi dhiy;e.sit;o v;iprajuuta.h sut;aavata.h ;upa br;ahmaa.ni vaagh;ata.h	;indra ;aa yaahi dhiy;aa i.sit;a.h v;iprajuuta.h sut;aavata.h ;upa br;ahmaa.ni vaagh;ata.h
;indr;aa yaahi t;uutujaana ;upa br;ahmaa.ni hariva.h sut;e dadhi.sva na;s c;ana.h	;indra ;aa yaahi t;uutujaana.h ;upa br;ahmaa.ni hariva.h sut;e dadhi.sva na.h c;ana.h
;omaasa;s car.sa.niidh.rto v;i;sve devaasa ;aa gata daa;sv;aa.mso daa;s;u.sa.h sut;am	;aa ! uumaasa.h ! car.sa.niidh.rta.h v;i;sve devaasa.h ;aa gata daa;sv;aa.msa.h daa;s;u.sa.h sut;am
v;i;sve dev;aaso apt;ura.h sut;am ;aa ganta t;uur.naya.h usr;aa iva sv;asaraa.ni	v;i;sve dev;aasa.h apt;ura.h sut;am ;aa ganta t;uur.naya.h usr;aa.h iva sv;asaraa.ni
v;i;sve dev;aaso asr;idha ;ehimaayaaso adr;uha.h m;edha.m ju.santa v;ahnaya.h	v;i;sve dev;aasa.h asr;idha.h ;ehimaayaasa.h adr;uha.h m;edham ju.santa v;ahnaya.h
paavak;aa na.h s;arasvatii v;aajebhir vaaj;iniivatii yaj;n;a.m va.s.tu dhiy;aavasu.h	paavak;aa na.h s;arasvatii v;aajebhi.h vaaj;iniivatii yaj;n;am va.s.tu dhiy;aavasu.h
codayitr;ii suun;.rtaanaa.m c;etantii sumatiin;aam yaj;n;a.m dadhe s;arasvatii	codayitr;ii suun;.rtaanaam c;etantii sumatiin;aam yaj;n;am dadhe s;arasvatii
mah;o ;ar.na.h s;arasvatii pr;a cetayati ket;unaa dh;iyo v;i;svaa v;i raajati	mah;a.h ;ar.na.h s;arasvatii pr;a cetayati ket;unaa dh;iya.h v;i;svaa.h v;i raajati
suruupak.rtn;um uut;aye sud;ughaam iva god;uhe juhuum;asi dy;avi-dyavi	suruupak.rtn;um uut;aye sud;ughaam iva god;uhe juhuum;asi dy;avi-dyavi
;upa na.h s;avan;aa gahi s;omasya somapaa.h piba god;aa ;id rev;ato m;ada.h	;upa na.h s;avanaa ;aa gahi s;omasya somapaa.h piba god;aa.h ;it rev;ata.h m;ada.h
;athaa te ;antamaanaa.m vidy;aama sumatiin;aam m;aa no ;ati khya ;aa gahi	;atha+ te ;antamaanaam vidy;aama sumatiin;aam m;aa na.h ;ati khya.h ;aa gahi
