samhita	pada
agn;i.h p;uurvebhir ;.r.sibhir ;ii.dyo n;uutanair ut;a s;a dev;aa;m ;eh;a vak.sati	agn;i.h p;uurvebhi.h ;.r.sibhi.h ;ii.dya.h n;uutanai.h ut;a s;a dev;aan ;aa ih;a vak.sati
agn;ir h;otaa kav;ikratu.h saty;a;s citr;a;sravastama.h dev;o dev;ebhir ;aa gamat	agn;i.h h;otaa kav;ikratu.h saty;a.h citr;a;sravastama.h dev;a.h dev;ebhi.h ;aa gamat
y;ad a:ng;a daa;s;u.se tv;am ;agne bhadr;a.m kari.sy;asi t;av;et t;at saty;am a:ngira.h	y;at a:ng;a daa;s;u.se tv;am ;agne bhadr;am kari.sy;asi t;ava ;it t;at saty;am a:ngira.h
;upa tvaagne div;e-dive d;o.saavastar dhiy;aa vay;am n;amo bh;aranta ;emasi	;upa tvaa agne div;e-dive d;o.saavastar dhiy;aa vay;am n;ama.h bh;aranta.h ;aa imasi
r;aajantam adhvar;aa.naa.m gop;aam .rt;asya d;iidivim v;ardhamaana.m sv;e d;ame	r;aajantam adhvar;aa.naam gop;aam .rt;asya d;iidivim v;ardhamaanam sv;e d;ame
v;aayav ;aa yaahi dar;satem;e s;omaa ;ara.mk.rtaa.h t;e.saam paahi ;srudh;ii h;avam	v;aayo ;aa yaahi dar;sata im;e s;omaa.h ;ara.mk.rtaa.h t;e.saam paahi ;srudh;i+ h;avam
v;aaya ukth;ebhir jarante tv;aam ;achaa jarit;aara.h sut;asomaa aharv;ida.h	v;aayo ukth;ebhi.h jarante tv;aam ;acha+ jarit;aara.h sut;asomaa.h aharv;ida.h
v;aayo t;ava prap.r;ncat;ii dh;enaa jigaati daa;s;u.se uruuc;ii s;omapiitaye	v;aayo t;ava prap.r;ncat;ii dh;enaa jigaati daa;s;u.se uruuc;ii s;omapiitaye
;indravaayuu im;e sut;aa ;upa pr;ayobhir ;aa gatam ;indavo vaam u;s;anti h;i	;indravaayuu im;e sut;aa.h ;upa pr;ayobhi.h ;aa gatam ;indava.h vaam u;s;anti h;i
mitr;a.m huve puut;adak.sa.m v;aru.na.m ca ri;s;aadasam dh;iya.m gh.rt;aacii.m s;aadhantaa	mitr;am huve puut;adak.sam v;aru.nam ca ri;s;aadasam dh;iyam gh.rt;aaciim s;aadhantaa
;a;svinaa y;ajvariir ;i.so dr;avatpaa.nii ;s;ubhas patii p;urubhujaa canasy;atam	;a;svinaa y;ajvarii.h ;i.sa.h dr;avatpaa.nii ;s;ubha.h patii p;urubhujaa canasy;atam
;a;svinaa p;uruda.msasaa n;araa ;s;aviirayaa dhiy;aa dh;i.s.nyaa v;anata.m g;ira.h	;a;svinaa p;uruda.msasaa n;araa ;s;aviirayaa dhiy;aa dh;i.s.nyaa v;anatam g;ira.h
d;asraa yuv;aakava.h sut;aa n;aasatyaa v.rkt;abarhi.sa.h ;aa yaata.m rudravartanii	d;asraa yuv;aakava.h sut;aa.h n;aasatyaa v.rkt;abarhi.sa.h ;aa yaatam rudravartanii
v;i;sve dev;aaso apt;ura.h sut;am ;aa ganta t;uur.naya.h usr;aa iva sv;asaraa.ni	v;i;sve dev;aasa.h apt;ura.h sut;am ;aa ganta t;uur.naya.h usr;aa.h iva sv;asaraa.ni
codayitr;ii suun;.rtaanaa.m c;etantii sumatiin;aam yaj;n;a.m dadhe s;arasvatii	codayitr;ii suun;.rtaanaam c;etantii sumatiin;aam yaj;n;am dadhe s;arasvatii
;upa na.h s;avan;aa gahi s;omasya somapaa.h piba god;aa ;id rev;ato m;ada.h	;upa na.h s;avanaa ;aa gahi s;omasya somapaa.h piba god;aa.h ;it rev;ata.h m;ada.h
;athaa te ;antamaanaa.m vidy;aama sumatiin;aam m;aa no ;ati khya ;aa gahi	;atha+ te ;antamaanaam vidy;aama sumatiin;aam m;aa na.h ;ati khya.h ;aa gahi
asy;a piitv;aa ;satakrato ghan;o v.rtr;aa.naam abhava.h pr;aavo v;aaje.su vaaj;inam	asy;a piitv;aa ;satakrato ghan;a.h v.rtr;aa.naam abhava.h pr;a aava.h v;aaje.su vaaj;inam
t;a.m tvaa v;aaje.su vaaj;ina.m vaaj;ayaama.h ;satakrato dh;anaanaam indra saat;aye	t;am tvaa v;aaje.su vaaj;inam vaaj;ayaama.h ;satakrato dh;anaanaam indra saat;aye
y;o raay:o 'v;anir mah;aan supaar;a.h sunvat;a.h s;akhaa t;asmaa ;indraaya gaayata	y;a.h raay;a.h av;ani.h mah;aan supaar;a.h sunvat;a.h s;akhaa t;asmai ;indraaya gaayata
;aa tv ;etaa n;i .siidat;endram abh;i pr;a gaayata s;akhaaya st;omavaahasa.h	;aa t;u ;aa ita+ n;i siidata ;indram abh;i pr;a gaayata s;akhaaya.h st;omavaahasa.h
puruut;amam puruu.n;aam ;ii;saana.m v;aaryaa.naam ;indra.m s;ome s;acaa sut;e	puruut;amam puruu.n;aam ;ii;saanam v;aaryaa.naam ;indram s;ome s;acaa sut;e
s;a ghaa no y;oga ;aa bhuvat s;a raay;e s;a p;ura.mdhyaam g;amad v;aajebhir ;aa s;a na.h	s;a gha+ na.h y;oge ;aa bhuvat s;a raay;e s;a p;ura.mdhyaam g;amat v;aajebhi.h ;aa s;a na.h
sutap;aavne sut;aa im;e ;s;ucayo yanti viit;aye s;omaaso d;adhyaa;sira.h	sutap;aavne sut;aa.h im;e ;s;ucaya.h yanti viit;aye s;omaasa.h d;adhyaa;sira.h
